timestamp,city,temperature,description
2025-07-17 23:16:09,Unknown,30.02,Clear sky,55,8.49,1010,40800.0,7.75,0.1
2025-07-17 23:17:17,Unknown,30.02,Clear sky,55,8.49,1010,40800.0,7.75,0.1
2025-07-17 23:17:17,Unknown,30.02,Clear sky,55,8.49,1010,40800.0,7.75,0.1
2025-07-17 23:17:19,Unknown,30.02,Clear sky,55,8.49,1010,40800.0,7.75,0.1
2025-07-17 23:24:07,Unknown,30.02,Clear sky,55,8.49,1010,40800.0,7.75,0.1
2025-07-17 23:26:38,Unknown,31.17,Broken clouds,61,8.23,1016,24140.0,7.6,0.0
2025-07-17 23:27:56,Unknown,15.1,Light rain,73,3.87,1013,7980.0,6.0,11.8
2025-07-17 23:28:57,Unknown,29.81,Clear sky,55,9.39,1011,40800.0,7.75,0.1
2025-07-17 23:35:07,Unknown,31.31,Broken clouds,60,8.23,1016,24140.0,7.6,0.0
2025-07-19 11:58:08,Unknown,27.26,Few clouds,59,4.12,1018,33200.0,4.8,0.0
2025-07-19 12:13:44,Unknown,27.59,Scattered clouds,57,6.17,1018,30300.0,4.8,0.0
2025-07-19 12:13:53,Unknown,37.96,Broken clouds,44,2.06,994,24140.0,8.95,0.0
2025-07-19 12:14:08,Unknown,27.24,Broken clouds,78,6.69,1016,24140.0,8.0,0.0
2025-07-19 12:14:12,Unknown,27.24,Broken clouds,78,6.69,1016,24140.0,8.0,0.0
2025-07-19 12:27:41,Unknown,27.46,Scattered clouds,58,6.17,1018,26500.0,4.8,0.0
2025-07-19 12:31:12,Unknown,27.41,Scattered clouds,58,6.17,1018,29500.0,4.8,0.0
2025-07-19 12:42:04,Unknown,27.49,Scattered clouds,58,6.17,1018,29500.0,4.8,0.0
2025-07-19 15:33:51,Unknown,26.72,Broken clouds,66,6.17,1017,27600.0,4.65,0.0
2025-07-19 15:38:46,Unknown,26.72,Broken clouds,66,6.17,1017,27600.0,4.65,0.0
2025-07-19 15:41:33,Unknown,26.72,Broken clouds,66,6.17,1017,27600.0,4.65,0.0
2025-07-19 15:51:36,Unknown,26.72,Broken clouds,67,6.17,1017,27000.0,4.65,0.0
2025-07-19 15:53:55,Unknown,29.05,Mist,84,1.54,998,24140.0,7.05,0.0
2025-07-19 15:56:01,Unknown,26.72,Broken clouds,67,6.17,1017,27000.0,4.65,0.0
